barcode,regex_result,barcode_type
10314910,10314910,Jnet1
4026759,4026759,Jnet0
10315003,10315003,Jnet1
10326630,10326630,Jnet1
10326731,10326731,Jnet1
10315260,10315260,Jnet1
10315159,10315159,Jnet1
10326468,10326468,Jnet1
10326430,10326430,Jnet1
4024612,4024612,Jnet0
4022821,4022821,Jnet0
10328718,10328718,Jnet1
2200308,2200308,Jnet0
2201247,2201247,Jnet0
7502476,7502476,Jnet0
2201249,2201249,Jnet0
7500739,7500739,Jnet0
2201479,2201479,Jnet0
7500633,7500633,Jnet0
7501030,7501030,Jnet0
7500623,7500623,Jnet0
2200077,2200077,Jnet0
7502359,7502359,Jnet0
JL-AS000368-3  SN 10343327 NAD A00A7A3E,10343327,Jnet1
7502274,7502274,Jnet0
2201390,2201390,Jnet0
2201315,2201315,Jnet0
7501159,7501159,Jnet0
2200617,2200617,Jnet0
10328363,10328363,Jnet1
10327789,10327789,Jnet1
10358075,10358075,Jnet1
10328389,10328389,Jnet1
10327883,10327883,Jnet1
10328329,10328329,Jnet1
10324390,10324390,Jnet1
10324625,10324625,Jnet1
10328665,10328665,Jnet1
10327914,10327914,Jnet1
10324370,10324370,Jnet1
10315001,10315001,Jnet1
10315342,10315342,Jnet1
4024908,4024908,Jnet0
10315800,10315800,Jnet1
JL-AS000344-3 SN 10345689 NAD A00A8CB2,10345689,Jnet1
JL-AS000344-3 SN 10344849 NAD A00A8622,10344849,Jnet1
JL-AS000344-3 SN 10363264 NAD A00B1600,10363264,Jnet1
JL-AS000344-3 SN 10363551 NAD A00B183E,10363551,Jnet1
JL-AS000344-3 SN 10363170 NAD A00B1544,10363170,Jnet1
JL-AS000344-3 SN 10363170 NAD A00B1544,10363170,Jnet1
JL-AS000344-3 SN 10344865 NAD A00A8642,10344865,Jnet1
www.juganu.com,www.juganu.com,Unknown
JL-AS000344-3 SN 10345618 NAD A00A8C24,10345618,Jnet1
JL-AS000344-3 SN 10363231 NAD A00B15BE,10363231,Jnet1
JL-AS000344-3 SN 10363181 NAD A00B155A,10363181,Jnet1
JL-AS000344-3 SN 10363117 NAD A00B14DA,10363117,Jnet1
10328701,10328701,Jnet1
10328362,10328362,Jnet1
10327957,10327957,Jnet1
10328349,10328349,Jnet1
10328681,10328681,Jnet1
10328586,10328586,Jnet1
10328729,10328729,Jnet1
JL-AS000368-3 SN 10357944 NAD A00AEC70,10357944,Jnet1
10327783,10327783,Jnet1
10328035,10328035,Jnet1
JL-AS000368-3 SN 10357945 NAD A00AEC72,10357945,Jnet1
10328189,10328189,Jnet1
10324604,10324604,Jnet1
JL-AS000368-3 SN 10358012 NAD A00AECF8,10358012,Jnet1
10328690,10328690,Jnet1
10328421,10328421,Jnet1
JL-AS000368-3 SN 10358049 NAD A00AED42,10358049,Jnet1
JL-AS000368-3 SN 10358001 NAD A00AECE2,10358001,Jnet1
JL-AS000368-3 SN 10358028 NAD A00AED18,10358028,Jnet1
JL-AS000368-3 SN 10357980 NAD A00AECB8,10357980,Jnet1
10328654,10328654,Jnet1
2200463,2200463,Jnet0
7502317,7502317,Jnet0
2200395,2200395,Jnet0
7502335,7502335,Jnet0
7502223,7502223,Jnet0
JL-AS000344-3 SN 10345634 NAD A00A8C44,10345634,Jnet1
4023766,4023766,Jnet0
4023938,4023938,Jnet0
10315424,10315424,Jnet1
JL-AS000368-3 SN 10357918 NAD A00AEC3C,10357918,Jnet1
JL-AS000368-3 SN 10357939 NAD A00AEC66,10357939,Jnet1
JL-AS000368-3 SN 10357882 NAD A00AEBF4,10357882,Jnet1
JL-AS000368-3 SN 10357882 NAD A00AEBF4,10357882,Jnet1
JL-AS000368-3 SN 10357846 NAD A00AEBAC,10357846,Jnet1
10315762,10315762,Jnet1
4022761,4022761,Jnet0
4026774,4026774,Jnet0
JL-AS000368-3 SN 10357840 NAD A00AEBA0,10357840,Jnet1
JL-AS000368-3 SN 10357996 NAD A00AECD8,10357996,Jnet1
JL-AS000368-3 SN 10357831 NAD A00AEB8E,10357831,Jnet1
JL-AS000368-3 SN 10357851 NAD A00AEBB6,10357851,Jnet1
JL-AS000368-3 SN 10358000 NAD A00AECE0,10358000,Jnet1
JL-AS000368-3 SN 10357886 NAD A00AEBFC,10357886,Jnet1
JL-AS000368-3 SN 10357958 NAD A00AEC8C,10357958,Jnet1
JL-AS000368-3 SN 10357893 NAD A00AEC0A,10357893,Jnet1
7502174,7502174,Jnet0
2201273,2201273,Jnet0
7502245,7502245,Jnet0
7500409,7500409,Jnet0
7501160,7501160,Jnet0
7501141,7501141,Jnet0
7500447,7500447,Jnet0
7501160,7501160,Jnet0
7502175,7502175,Jnet0
2201439,2201439,Jnet0
JL-AS000368-3 SN 10357893 NAD A00AEC0A,10357893,Jnet1
JL-AS000368-3 SN 10358050 NAD A00AED44,10358050,Jnet1
JL-AS000368-3 SN 10358060 NAD A00AED58,10358060,Jnet1
JL-AS000368-3 SN 10357826 NAD A00AEB84,10357826,Jnet1
10327879,10327879,Jnet1
JL-AS000368-3 SN 10357932 NAD A00AEC58,10357932,Jnet1
JL-AS000368-3 SN 10357910 NAD A00AEC2C,10357910,Jnet1
JL-AS000368-3 SN 10358031 NAD A00AED1E,10358031,Jnet1
JL-AS000368-3 SN 10358076 NAD A00AED78,10358076,Jnet1
JL-AS000368-3 SN 10358038 NAD A00AED2C,10358038,Jnet1
10327810,10327810,Jnet1
JL-AS000368-3 SN 10357829 NAD A00AEB8A,10357829,Jnet1
JL-AS000368-3 SN 10357834 NAD A00AEB94,10357834,Jnet1
JL-AS000368-3 SN 10357861 NAD A00AEBCA,10357861,Jnet1
JL-AS000368-3 SN 10357928 NAD A00AEC50,10357928,Jnet1
JL-AS000368-3 SN 10357971 NAD A00AECA6,10357971,Jnet1
JL-AS000368-3 SN 10357978 NAD A00AECB4,10357978,Jnet1
JL-AS000368-3 SN 10357978 NAD A00AECB4,10357978,Jnet1
JL-AS000368-3 SN 10357914 NAD A00AEC34,10357914,Jnet1
JL-AS000344-3 SN 10363521 NAD A00B1802,10363521,Jnet1
JL-AS000344-3 SN 10363218 NAD A00B15A4,10363218,Jnet1
JL-AS000344-3 SN 10363543 NAD A00B182E,10363543,Jnet1
JL-AS000344-3 SN 10363305 NAD A00B1652,10363305,Jnet1
JL-AS000368-3 SN 10358050 NAD A00AED44,10358050,Jnet1
JL-AS000368-3 SN 10358014 NAD A00AECFC,10358014,Jnet1
JL-AS000368-3 SN 10357835 NAD A00AEB96,10357835,Jnet1
JL-AS000368-3 SN 10357869 NAD A00AEBDA,10357869,Jnet1
JL-AS000368-3 SN 10357862 NAD A00AEBCC,10357862,Jnet1
JL-AS000368-3 SN 10357890 NAD A00AEC04,10357890,Jnet1
JL-AS000368-3 SN 10357923 NAD A00AEC46,10357923,Jnet1
JL-AS000368-3 SN 10357890 NAD A00AEC04,10357890,Jnet1
JL-AS000368-3 SN 10357893 NAD A00AEC0A,10357893,Jnet1
JL-AS000368-3 SN 10357763 NAD A00AEB06,10357763,Jnet1
JL-AS000368-3 SN 10358010 NAD A00AECF4,10358010,Jnet1
JL-AS000368-3 SN 10358013 NAD A00AECFA,10358013,Jnet1
JL-AS000368-3 SN 10358013 NAD A00AECFA,10358013,Jnet1
JL-AS000368-3 SN 10357875 NAD A00AEBE6,10357875,Jnet1
JL-AS000368-3 SN 10357924 NAD A00AEC48,10357924,Jnet1
JL-AS000368-3 SN 10357913 NAD A00AEC32,10357913,Jnet1
JL-AS000368-3 SN 10357770 NAD A00AEB14,10357770,Jnet1
JL-AS000368-3 SN 10357770 NAD A00AEB14,10357770,Jnet1
JL-AS000368-3 SN 10357920 NAD A00AEC40,10357920,Jnet1
4700486,4700486,Jnet0
4700639,4700639,Jnet0
4700706,4700706,Jnet0
4700470,4700470,Jnet0
JL-AS000368-3 SN 10358055 NAD A00AED4E,10358055,Jnet1
4025234,4025234,Jnet0
4025115,4025115,Jnet0
JL-AS000344-3 SN 10345441 NAD A00A8AC2,10345441,Jnet1
4022767,4022767,Jnet0
10357783,10357783,Jnet1
JL-AS000344-3 SN 10344341 NAD A00A822A,10344341,Jnet1
JL-AS000344-3 SN 10345473 NAD A00A8B02,10345473,Jnet1
JL-AS000344-3 SN 10345536 NAD A00A8B80,10345536,Jnet1
JL-AS000344-3 SN 10344675 NAD A00A84C6,10344675,Jnet1
JL-AS000344-3 SN 10345505 NAD A00A8B42,10345505,Jnet1
12000548,12000548,Jnet0
JL-AS000344-3 SN 10344685 NAD A00A84DA,10344685,Jnet1
JL-AS000344 SN 10317850 NAD A009B334,10317850,Jnet1
JL-AS000344-3 SN 10345064 NAD A00A87D0,10345064,Jnet1
7500499,7500499,Jnet0
2201321,2201321,Jnet0
2200554,2200554,Jnet0
7500208,7500208,Jnet0
7500208,7500208,Jnet0
7502322,7502322,Jnet0
7500126,7500126,Jnet0
2200426,2200426,Jnet0
2200284,2200284,Jnet0
7500198,7500198,Jnet0
4026900,4026900,Jnet0
4026909,4026909,Jnet0
2200348,2200348,Jnet0
4026663,4026663,Jnet0
10326795,10326795,Jnet1
4023081,4023081,Jnet0
101503574,101503574,Unknown
7502225,7502225,Jnet0
4022784,4022784,Jnet0
10324940,10324940,Jnet1
4023152,4023152,Jnet0
4027223,4027223,Jnet0
7502223,7502223,Jnet0
2201754,2201754,Jnet0
7502261,7502261,Jnet0
7502285,7502285,Jnet0
2201895,2201895,Jnet0
7502327,7502327,Jnet0
7502281,7502281,Jnet0
2201896,2201896,Jnet0
4024096,4024096,Jnet0
http://test,http://test,Unknown
4025676,4025676,Jnet0
10315686,10315686,Jnet1
4022855,4022855,Jnet0
4023211,4023211,Jnet0
4000837,4000837,Jnet0
4026491,4026491,Jnet0
122664,122664,Unknown
JL-AS000368-3 SN 10357810 NAD A00AEB64,10357810,Jnet1
JL-AS000348-1 SN 10326424 NAD A009F630,10326424,Jnet1
JL-AS000344-3 SN 10363265 NAD A00B1602,10363265,Jnet1
JL-AS000344-3 SN 10345453 NAD A00A8ADA,10345453,Jnet1
JL-AS000344-3 SN 10363526 NAD A00B180C,10363526,Jnet1
12000618,12000618,Jnet0
JL-AS000344-3 SN 10345647 NAD A00A8C5E,10345647,Jnet1
JL-AS000344-3 SN 10345381 NAD A00A8A4A,10345381,Jnet1
2201801,2201801,Jnet0
7500000,7500000,Jnet0
2200866,2200866,Jnet0
2201859,2201859,Jnet0
7500476,7500476,Jnet0
JL-AS000368-3 SN 10357847 NAD A00AEBAE,10357847,Jnet1
10327756,10327756,Jnet1
JL-AS000368-3 SN 10357817 NAD A00AEB72,10357817,Jnet1
JL-AS000368-3 SN 10357820 NAD A00AEB78,10357820,Jnet1
10328699,10328699,Jnet1
JL-AS000368-3  SN 10343301 NAD A00A7A0A,10343301,Jnet1
4000850,4000850,Jnet0
4010276,4010276,Unknown
4027198,4027198,Jnet0
4027482,4027482,Jnet0
JL-AS000344-3 SN 10344868 NAD A00A8648,10344868,Jnet1
JL-AS000344-3 SN 10363541 NAD A00B182A,10363541,Jnet1
122604,122604,Unknown
JL-AS000344-3 SN 10363469 NAD A00B179A,10363469,Jnet1
4027228,4027228,Jnet0
4000383,4000383,Jnet0
120053,120053,Jnet0
P/N:PR900001206 S/N:2313JG00377,900001206,Unknown
4001063,4001063,Jnet0
JL-AS000344-3 SN 10345666 NAD A00A8C84,10345666,Jnet1
4700706,4700706,Jnet0
4700486,4700486,Jnet0
4700470,4700470,Jnet0
4700639,4700639,Jnet0
121667,121667,Unknown
4026983,4026983,Jnet0
"@LED CONTROLLER,SN 4027192,PN JL-AS000172 ,HW 17,FW 966,DATE 5119#",4027192,Jnet0
4027467,4027467,Jnet0
JL-AS000368-3  SN 10343333 NAD A00A7A4A,10343333,Jnet1
JL-AS000368-3 SN 10357764 NAD A00AEB08,10357764,Jnet1
JL-AS000368-3  SN 10343096 NAD A00A7870,10343096,Jnet1
JL-AS000368-3  SN 10343055 NAD A00A781E,10343055,Jnet1
JL-AS000368-3 SN 10357815 NAD A00AEB6E,10357815,Jnet1
JL-AS000368-3  SN 10343317 NAD A00A7A2A,10343317,Jnet1
JL-AS000368-3 SN 10358063 NAD A00AED5E,10358063,Jnet1
10327972,10327972,Jnet1
JL-AS000368-3  SN 10343318 NAD A00A7A2C,10343318,Jnet1
JL-AS000368-3  SN 10343317 NAD A00A7A2A,10343317,Jnet1
JL-AS000368-3 SN 10357806 NAD A00AEB5C,10357806,Jnet1
JL-AS000368-3 SN 10358040 NAD A00AED30,10358040,Jnet1
JL-AS000368 SN 10328133 NAD A00A038A,10328133,Jnet1
JL-AS000368-3 SN 10357986 NAD A00AECC4,10357986,Jnet1
10324616,10324616,Jnet1
JL-AS000368-3 SN 10357901 NAD A00AEC1A,10357901,Jnet1
JL-AS000368-3 SN 10358039 NAD A00AED2E,10358039,Jnet1
JL-AS000368-3 SN 10357893 NAD A00AEC0A,10357893,Jnet1
JL-AS000368-3 SN 10357918 NAD A00AEC3C,10357918,Jnet1
JL-AS000368-3 SN 10357766 NAD A00AEB0C,10357766,Jnet1
https://me-qr.com/PBBmjffs,https://me-qr.com/PBBmjffs,Unknown
JL-AS000344-3 SN 10344879 NAD A00A865E,10344879,Jnet1
JL-AS000368-3 SN 10357915 NAD A00AEC36,10357915,Jnet1
JL-AS000368-3 SN 10357894 NAD A00AEC0C,10357894,Jnet1
10328035,10328035,Jnet1
JL-AS000368-3 SN 10357983 NAD A00AECBE,10357983,Jnet1
JL-AS000368-3 SN 10357813 NAD A00AEB6A,10357813,Jnet1
JL-AS000368-3 SN 10357963 NAD A00AEC96,10357963,Jnet1
JL-AS000368-3 SN 10358034 NAD A00AED24,10358034,Jnet1
JL-AS000368-3 SN 10357984 NAD A00AECC0,10357984,Jnet1
JL-AS000368-3 SN 10358061 NAD A00AED5A,10358061,Jnet1
10328690,10328690,Jnet1
JL-AS000368-3 SN 10357832 NAD A00AEB90,10357832,Jnet1
JL-AS000368-3  SN 10343328 NAD A00A7A40,10343328,Jnet1
JL-AS000368-3 SN 10357931 NAD A00AEC56,10357931,Jnet1
2201253,2201253,Jnet0
2201255,2201255,Jnet0
7500593,7500593,Jnet0
7501043,7501043,Jnet0
test ,test ,Unknown
7500435,7500435,Jnet0
test3,test3,Unknown
